# Source: INEGI
# Date: 2024-10-16
# Unit: Millions of Pesos (constant 2018 prices)
# Description: Mexico GDP quarterly data (sample)
date,value,growth_rate
2020-01-01,18500000,1.2
2020-04-01,16800000,-9.2
2020-07-01,18200000,8.3
2020-10-01,18900000,3.8
2021-01-01,19200000,1.6
2021-04-01,19800000,3.1
2021-07-01,20100000,1.5
2021-10-01,20500000,2.0
2022-01-01,20800000,1.5
2022-04-01,21100000,1.4
2022-07-01,21400000,1.4
2022-10-01,21700000,1.4
2023-01-01,22000000,1.4
2023-04-01,22400000,1.8
2023-07-01,22700000,1.3
2023-10-01,23100000,1.8
2024-01-01,23400000,1.3
2024-04-01,23800000,1.7
