"date","Servicios","Mercancías","Total"
2025-06-01,4.62,3.91,4.24
2025-05-01,4.49,3.67,4.06
2025-04-01,4.56,3.38,3.93
2025-03-01,4.35,2.98,3.64
2025-02-01,4.64,2.75,3.65
2025-01-01,4.69,2.74,3.66
2024-12-01,4.94,2.47,3.65
2024-11-01,4.9,2.39,3.58
2024-10-01,4.98,2.81,3.8
2024-09-01,5.1,2.92,3.91
2024-08-01,5.18,3.02,4
2024-07-01,5.22,3.09,4.05
2024-06-01,5.15,3.28,4.13
2024-05-01,5.22,3.38,4.21
2024-04-01,5.21,3.67,4.37
2024-03-01,5.37,3.88,4.55
2024-02-01,5.3,4.11,4.64
2024-01-01,5.25,4.37,4.76
2023-12-01,5.33,4.89,5.09
2023-11-01,5.28,5.33,5.3
2023-10-01,5.34,5.64,5.5
2023-09-01,5.23,6.2,5.76
2023-08-01,5.15,6.86,6.08
2023-07-01,5.24,7.82,6.64
2023-06-01,5.25,8.26,6.89
2023-05-01,5.43,9.04,7.39
2023-04-01,5.46,9.54,7.67
2023-03-01,5.71,10.12,8.09
2023-02-01,5.55,10.65,8.29
2023-01-01,5.51,11,8.45
2022-12-01,5.19,11.09,8.35
2022-11-01,5.35,11.28,8.51
2022-10-01,5.3,11.15,8.42
2022-09-01,5.35,10.84,8.28
2022-08-01,5.19,10.55,8.05
2022-07-01,4.9,10.07,7.65
2022-06-01,4.76,9.91,7.49
2022-05-01,4.74,9.53,7.28
2022-04-01,4.83,9.33,7.22
2022-03-01,4.62,8.69,6.78
2022-02-01,4.62,8.34,6.59
2022-01-01,4.35,7.86,6.21
2021-12-01,4.3,7.4,5.94
2021-11-01,3.92,7.24,5.67
2021-10-01,3.64,6.58,5.19
2021-09-01,3.43,6.26,4.92
2021-08-01,3.43,5.99,4.78
2021-07-01,3.46,5.74,4.66
2021-06-01,3.22,5.81,4.58
2021-05-01,2.84,5.76,4.37
2021-04-01,2.53,5.59,4.13
2021-03-01,2.3,5.79,4.12
2021-02-01,2.06,5.54,3.87
2021-01-01,2.13,5.41,3.84
2020-12-01,1.95,5.52,3.8
2020-11-01,2.22,4.99,3.66
2020-10-01,2.4,5.44,3.98
2020-09-01,2.45,5.4,3.99
2020-08-01,2.46,5.36,3.97
2020-07-01,2.4,5.19,3.85
2020-06-01,2.65,4.69,3.71
2020-05-01,2.93,4.3,3.64
2020-04-01,2.84,4.11,3.5
2020-03-01,3.35,3.83,3.6
2020-02-01,3.48,3.82,3.66
2020-01-01,3.51,3.92,3.73
2019-12-01,3.64,3.56,3.59
2019-11-01,3.67,3.63,3.65
2019-10-01,3.58,3.78,3.68
2019-09-01,3.73,3.77,3.75
2019-08-01,3.79,3.76,3.78
2019-07-01,3.79,3.85,3.82
2019-06-01,3.75,3.92,3.85
2019-05-01,3.69,3.82,3.77
2019-04-01,3.97,3.74,3.87
2019-03-01,3.38,3.71,3.55
2019-02-01,3.43,3.61,3.54
2019-01-01,3.51,3.66,3.6
2018-12-01,3.47,3.92,3.68
2018-11-01,3.37,3.9,3.63
2018-10-01,3.48,3.98,3.73
2018-09-01,3.38,3.95,3.67
2018-08-01,3.36,3.9,3.63
2018-07-01,3.33,3.99,3.63
2018-06-01,3.38,3.88,3.62
2018-05-01,3.36,4.07,3.69
2018-04-01,3.15,4.35,3.71
2018-03-01,3.49,4.64,4.02
2018-02-01,3.49,5.18,4.27
