# Source: INEGI/Banco de México
# Date: 2024-10-16
# Unit: Percentage
# Description: Mexico monthly inflation rate
date,inflation_rate,cpi
2020-01-01,3.2,105.2
2020-02-01,3.7,105.5
2020-03-01,3.3,105.3
2020-04-01,2.2,104.8
2020-05-01,2.8,105.1
2020-06-01,3.3,105.6
2020-07-01,3.6,106.0
2020-08-01,4.0,106.5
2020-09-01,4.0,106.8
2020-10-01,4.1,107.2
2020-11-01,3.3,106.9
2020-12-01,3.2,107.0
2021-01-01,3.5,107.5
2021-02-01,3.8,108.0
2021-03-01,4.7,109.2
2021-04-01,6.1,111.0
2021-05-01,6.0,111.5
2021-06-01,5.9,111.8
2021-07-01,5.8,112.0
2021-08-01,5.6,112.3
2021-09-01,6.0,113.0
2021-10-01,6.2,113.5
2021-11-01,7.4,115.2
2021-12-01,7.4,115.5
2022-01-01,7.1,115.8
2022-02-01,7.3,116.2
2022-03-01,7.5,116.8
2022-04-01,7.7,117.5
2022-05-01,7.9,118.0
2022-06-01,8.2,119.0
2022-07-01,8.2,119.5
2022-08-01,8.7,120.5
2022-09-01,8.5,120.8
2022-10-01,8.4,121.0
2022-11-01,7.8,120.5
2022-12-01,7.8,120.8
2023-01-01,7.9,121.2
2023-02-01,7.6,121.0
2023-03-01,6.9,120.2
2023-04-01,6.3,119.5
2023-05-01,5.8,118.8
2023-06-01,5.1,118.0
2023-07-01,4.8,117.5
2023-08-01,4.6,117.2
2023-09-01,4.5,117.0
2023-10-01,4.3,116.8
2023-11-01,4.3,116.7
2023-12-01,4.7,117.2
2024-01-01,4.9,117.8
2024-02-01,4.5,117.5
2024-03-01,4.4,117.6
2024-04-01,4.7,118.2
2024-05-01,4.7,118.5
2024-06-01,5.0,119.0
2024-07-01,5.6,120.2
2024-08-01,5.2,119.8
2024-09-01,4.6,119.2
