# Source: INEGI (ENOE)
# Date: 2024-10-16
# Unit: Percentage
# Description: Mexico unemployment rate
date,unemployment_rate,labor_force,employed
2020-01-01,3.6,57500000,55430000
2020-02-01,3.5,57600000,55584000
2020-03-01,3.8,57200000,55034000
2020-04-01,5.5,55800000,52731000
2020-05-01,5.2,56200000,53276000
2020-06-01,5.5,56500000,53393000
2020-07-01,5.4,56800000,53749000
2020-08-01,5.1,57000000,54087000
2020-09-01,4.8,57200000,54458000
2020-10-01,4.5,57400000,54813000
2020-11-01,4.2,57600000,55171000
2020-12-01,3.9,57800000,55536000
2021-01-01,4.3,58000000,55506000
2021-02-01,4.4,58200000,55633000
2021-03-01,4.2,58400000,55933000
2021-04-01,4.0,58600000,56256000
2021-05-01,3.9,58800000,56507000
2021-06-01,4.1,59000000,56581000
2021-07-01,4.2,59200000,56694000
2021-08-01,3.9,59400000,57087000
2021-09-01,3.8,59600000,57325000
2021-10-01,3.7,59800000,57573000
2021-11-01,3.5,60000000,57900000
2021-12-01,3.4,60200000,58152000
2022-01-01,3.5,60400000,58284000
2022-02-01,3.4,60600000,58540000
2022-03-01,3.4,60800000,58739000
2022-04-01,3.3,61000000,58987000
2022-05-01,3.2,61200000,59246000
2022-06-01,3.3,61400000,59378000
2022-07-01,3.4,61600000,59506000
2022-08-01,3.3,61800000,59769000
2022-09-01,3.3,62000000,59954000
2022-10-01,3.1,62200000,60266000
2022-11-01,3.0,62400000,60528000
2022-12-01,2.9,62600000,60783000
2023-01-01,2.8,62800000,61046000
2023-02-01,2.9,63000000,61173000
2023-03-01,2.8,63200000,61434000
2023-04-01,2.7,63400000,61682000
2023-05-01,2.8,63600000,61781000
2023-06-01,2.9,63800000,61951000
2023-07-01,2.9,64000000,62144000
2023-08-01,2.8,64200000,62402000
2023-09-01,2.7,64400000,62673000
2023-10-01,2.8,64600000,62799000
2023-11-01,2.7,64800000,63052000
2023-12-01,2.6,65000000,63310000
2024-01-01,2.7,65200000,63452000
2024-02-01,2.7,65400000,63624000
2024-03-01,2.8,65600000,63747000
2024-04-01,2.7,65800000,64027000
2024-05-01,2.6,66000000,64284000
2024-06-01,2.7,66200000,64413000
2024-07-01,2.9,66400000,64494000
2024-08-01,2.8,66600000,64735000
2024-09-01,2.6,66800000,65063000
